desc_1,desc_2,desc_3,desc_4,desc_5,desc_6,desc_7,desc_8,desc_9,desc_10,pres_1,pres_2,pres_3,pres_4,pres_5,pres_6,pres_7,pres_8,pres_9,pres_10,black_1,black_2,black_3,black_4,trans_1,trans_2,trans_3,trans_4,fat_1,fat_2,fat_3,fat_4,police_1,police_2,police_3,police_4,lawyers_1,lawyers_2,lawyers_3,lawyers_4,business_1,business_2,business_3,business_4,prostitutes_1,prostitutes_2,prostitutes_3,prostitutes_4,dealers_1,dealers_2,dealers_3,dealers_4,blind_1,blind_2,blind_3,blind_4,deaf_1,deaf_2,deaf_3,deaf_4,therm_1,therm_2,therm_3,therm_4,therm_5,therm_6,therm_7,therm_8,therm_9,therm_10,pc_1,pc_2,pc_3,pc_4,pc_5,pc_6,age,gender,race,conservative,democrat
60,75,25,50,90,80,50,90,5,5,50,70,30,60,100,85,60,100,1,1,5,6,6,6,5,4,4,5,6,7,7,7,4,4,4,4,7,7,7,7,6,6,6,6,5,5,5,5,6,7,6,6,3,3,3,3,4,4,4,4,25,8,25,86,0,51,25,0,95,95,21,21,21,21,21,21,24,Male,Caucasian,6,1
51,50,51,49,50,50,50,50,50,50,1,1,1,1,1,1,1,1,0,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,100,99,100,53,16,33,100,14,100,100,20,16,20,16,16,20,50,woman,white,4,7
64,93,76,81,88,61,30,79,5,4,50,94,63,72,78,44,81,98,2,2,6,5,6,6,6,7,6,6,6,5,6,6,7,7,7,7,6,7,6,6,5,6,6,6,4,3,3,3,5,7,5,5,6,7,6,6,5,1,3,3,9,10,57,24,48,93,46,5,100,100,20,18,20,21,20,21,42,Male,Caucasian,6,2
50,60,90,50,75,70,80,75,10,9,6,45,80,50,55,15,65,80,1,1,6,4,5,5,6,4,6,6,7,7,7,7,7,7,7,7,6,4,5,5,6,5,5,5,6,4,5,5,6,5,6,6,7,6,6,6,6,6,6,6,100,100,5,75,100,100,52,19,100,100,21,15,16,16,20,18,28,Female,White,2,7
46,46,39,37,34,23,79,76,19,12,55,65,51,49,15,8,61,62,10,11,5,5,5,5,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,4,4,4,4,75,82,60,30,19,19,15,20,72,61,17,17,17,17,17,17,25,Female,Asian,2,6
73,56,62,22,54,19,41,63,19,13,0,0,70,0,20,56,7,100,0,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,100,100,36,100,75,57,78,0,100,100,20,16,18,18,16,20,30,male,white,1,7
12,40,0,30,0,0,15,71,0,0,0,0,0,0,0,0,0,16,0,0,1,1,1,1,1,1,1,1,2,5,5,5,1,1,1,1,1,2,2,2,3,4,4,4,1,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,100,100,100,100,100,82,34,10,100,100,17,19,16,16,16,17,25,Male,White,3,3
65,85,31,25,47,40,55,100,0,0,30,64,10,25,32,26,50,100,0,0,6,6,6,6,4,4,4,4,6,6,6,6,5,6,6,6,5,5,6,6,3,4,4,4,7,7,7,7,6,6,6,6,7,7,7,7,7,7,7,7,83,56,83,87,71,88,56,0,100,100,19,19,17,17,19,19,27,Male,White,5,3
22,63,41,36,51,30,78,92,1,4,52,24,50,14,8,23,60,97,2,8,7,7,7,7,7,7,7,7,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,79,34,3,26,11,27,69,34,69,70,21,20,21,21,21,21,27,male,caucasian,5,3
30,40,39,50,61,59,70,80,4,5,0,0,0,30,50,50,70,100,0,0,4,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5,6,6,6,6,5,5,6,6,4,5,5,4,4,5,5,5,3,3,3,3,3,3,3,3,0,0,0,5,12,34,18,100,0,0,17,17,17,17,17,17,38,male,hispanic,3,5
20,80,50,70,25,30,28,50,2,10,5,75,55,58,50,50,27,75,1,5,4,3,4,3,3,3,4,3,4,4,4,4,3,3,3,3,3,3,4,3,4,3,4,4,4,3,4,4,5,3,4,3,5,3,3,3,2,2,2,3,55,41,48,29,32,65,48,26,95,96,18,16,18,19,18,18,22,male,Black and white,5,4
1,6,7,1,4,10,98,94,1,1,0,0,0,0,0,0,0,100,0,0,4,4,6,4,3,2,2,2,1,3,1,1,1,1,1,1,2,3,2,2,5,5,5,5,2,1,1,1,3,4,4,4,2,2,3,2,1,1,1,1,100,100,100,100,99,100,92,2,100,100,17,18,18,16,18,19,34,Male,White,4,4
20,30,35,55,35,15,15,65,3,3,0,20,20,20,50,0,20,90,0,0,3,2,2,2,5,7,6,7,4,5,5,5,2,2,2,2,6,6,6,6,2,2,2,2,5,5,5,5,6,7,6,6,3,3,2,2,2,2,2,2,100,0,16,53,16,100,17,0,100,100,21,19,21,21,21,21,28,Male,White,4,4
34,35,61,60,4,2,11,43,15,14,100,100,100,100,100,100,0,0,100,100,5,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,4,4,4,4,3,3,4,5,3,3,5,1,1,1,1,1,2,2,100,100,100,100,100,100,0,0,100,100,18,15,15,15,15,15,25,female,white,1,7
17,39,6,36,11,20,45,51,1,1,0,0,0,0,0,0,60,75,0,0,4,5,5,5,5,1,3,5,6,3,2,4,6,4,3,3,5,3,3,3,5,3,3,3,5,3,3,3,5,3,4,4,5,2,3,4,5,2,2,3,100,100,100,62,81,42,29,29,100,100,21,16,18,18,18,19,26,Female,White,3,6
58,63,36,51,30,34,74,79,22,17,29,30,18,23,19,35,91,86,13,11,5,3,4,4,5,3,4,4,5,5,5,5,6,3,5,5,6,6,6,6,6,4,4,4,6,5,5,5,6,6,6,6,5,3,3,3,5,2,2,2,70,46,25,95,95,92,9,5,96,95,20,20,20,20,20,20,21,male,white,5,3
40,54,81,70,70,100,60,100,1,1,1,1,5,30,25,20,35,40,1,1,2,2,2,2,3,2,2,2,2,2,3,3,2,3,3,3,4,4,5,5,4,4,4,4,5,5,5,5,6,6,6,6,1,1,1,1,1,1,1,1,100,100,91,49,43,47,38,36,100,100,19,15,19,16,19,16,25,female,east asian,2,6
25,25,20,55,15,25,40,60,10,10,0,0,0,50,5,5,100,100,0,0,5,2,2,2,2,2,2,2,5,5,5,5,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,2,2,2,2,2,2,2,2,0,7,10,51,9,10,76,21,0,0,18,18,18,18,18,18,21,Male,Black,3,5
49,69,28,40,72,75,56,46,0,0,0,0,0,0,100,100,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,100,100,100,0,0,100,100,100,100,16,16,16,16,16,16,31,Male,White,1,7
17,57,52,24,61,25,55,71,27,11,28,27,25,43,45,8,51,75,9,4,4,3,4,4,3,3,4,3,3,4,3,4,4,3,4,3,3,4,5,3,3,3,5,5,3,3,4,5,4,3,5,4,2,4,5,4,3,4,3,4,0,30,34,6,28,1,0,6,0,0,17,17,18,16,18,18,28,Male,White,4,4
42,77,76,56,81,61,97,99,26,16,0,0,16,53,53,28,88,100,0,0,7,5,6,7,7,5,5,5,7,5,6,7,7,5,5,6,7,3,7,7,7,5,5,5,7,6,6,6,7,6,7,7,7,5,5,5,7,5,5,6,88,37,78,42,48,56,0,0,94,94,17,17,16,16,18,19,43,heterosexual,caucasian,3,5
34,34,35,20,40,9,45,82,7,8,19,33,13,8,50,60,70,90,3,3,5,4,5,5,7,7,7,7,6,7,6,6,5,5,5,5,5,5,5,5,6,5,4,4,6,6,5,5,5,6,6,6,7,7,6,6,7,7,7,7,53,65,25,75,42,61,66,5,78,88,19,16,16,15,15,16,25,Male,White,2,6
48,80,75,50,70,60,90,100,15,20,10,15,5,50,80,85,100,100,0,0,7,7,7,7,7,7,7,7,7,7,7,7,6,5,6,6,7,7,7,7,6,6,6,6,4,5,5,5,7,7,7,7,6,6,6,6,6,7,7,7,51,14,39,51,45,51,0,0,51,50,18,16,16,18,16,18,51,Female,Hispanic,4,5
81,41,96,63,59,52,58,41,75,38,82,65,69,75,44,77,65,56,54,52,7,6,6,7,5,6,5,4,7,7,4,5,4,5,6,5,4,5,6,4,5,6,7,7,5,3,5,6,5,6,4,3,4,6,5,5,3,4,5,4,19,24,49,59,18,81,63,9,34,44,20,19,20,19,19,21,43,female,Asian,4,4
30,54,31,20,30,5,55,70,2,2,41,60,60,8,41,10,70,75,2,2,3,3,3,3,3,5,4,4,5,6,6,6,3,3,3,3,5,6,6,6,4,5,5,5,5,6,6,6,5,6,6,6,2,1,1,1,2,3,3,3,72,72,72,72,72,72,72,72,72,71,19,19,19,17,19,17,25,Male,Caucasian,3,5
10,25,20,25,33,25,50,50,5,5,25,25,25,40,50,40,50,40,1,1,4,5,6,6,4,6,6,5,4,6,6,6,4,6,6,6,4,6,6,6,4,3,3,3,4,6,6,6,4,4,3,3,4,6,6,6,4,6,6,6,60,60,60,60,60,60,60,40,60,60,20,18,19,17,20,19,28,Male,White,2,6
45,50,30,30,15,10,40,50,25,24,55,70,40,40,28,25,56,65,30,33,4,2,2,2,4,2,2,2,4,3,3,3,4,3,2,2,4,2,2,2,4,2,2,2,4,2,2,2,4,2,2,2,4,2,2,2,4,2,2,2,65,66,41,44,56,55,39,59,54,51,15,15,15,15,15,15,34,Male,White,3,5
73,55,49,32,14,29,91,94,0,2,48,70,33,34,18,22,83,93,0,0,6,6,6,4,5,4,3,3,6,6,5,4,5,3,3,2,7,7,5,5,6,6,4,4,5,6,6,4,5,5,3,4,4,5,4,3,6,5,4,4,71,90,54,91,85,65,2,3,90,87,20,18,18,18,18,19,20,Male,White,3,6
56,41,42,50,52,59,38,70,55,72,70,54,70,76,61,60,83,65,36,45,5,4,3,4,3,5,5,6,3,4,5,4,2,3,4,5,3,4,5,6,5,4,5,6,3,4,5,5,3,4,5,4,3,4,5,4,3,4,5,4,49,70,58,47,72,42,58,55,55,34,19,20,19,17,18,18,26,Male,Black,1,3
69,78,59,73,76,51,61,63,13,9,0,0,0,0,0,0,0,100,0,0,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,4,4,4,4,5,5,5,5,4,4,4,4,4,4,4,4,89,79,85,91,93,91,15,0,93,93,19,19,19,18,18,19,32,Male,White,2,6
20,20,40,59,80,67,36,65,5,5,0,0,0,10,15,20,1,30,0,0,5,1,2,2,2,1,1,1,5,3,4,4,6,6,5,5,6,6,7,7,6,6,6,6,4,3,2,2,6,5,5,5,4,3,3,2,2,1,1,1,100,100,99,78,54,52,88,13,100,100,17,15,15,15,15,16,23,Male,White,1,7
44,75,78,61,98,67,51,63,2,8,33,35,24,21,97,54,80,94,1,1,5,6,6,7,5,4,3,4,4,5,5,5,3,3,3,2,4,6,6,7,4,5,5,5,4,5,4,4,5,7,6,6,4,6,5,5,2,2,2,2,55,47,54,72,16,44,44,6,58,57,19,21,20,21,20,21,32,male,White,5,3
11,89,96,100,27,78,1,61,22,35,29,6,91,99,100,35,35,60,50,14,4,4,4,3,3,4,3,3,4,4,4,3,2,2,1,2,3,2,3,2,2,3,3,3,4,3,4,4,4,4,3,4,3,3,3,3,4,3,4,4,12,1,13,1,1,1,74,1,93,69,18,17,18,18,17,18,24,male,white,5,4
62,70,59,35,71,72,30,60,31,29,0,0,0,100,50,100,0,0,0,0,3,2,3,2,6,1,2,2,2,2,2,2,7,7,7,7,5,4,4,4,7,7,7,7,4,3,3,3,3,4,4,5,2,1,1,1,2,1,1,2,100,100,100,0,41,0,100,100,100,100,15,15,15,15,15,15,24,Transgender woman,White,1,5
83,92,100,73,100,90,75,76,27,14,50,60,80,30,100,50,60,25,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,99,74,60,0,0,0,72,100,100,100,20,16,19,16,20,16,48,female,caucasian,1,7
50,56,46,19,25,17,38,58,10,17,9,17,52,25,1,1,5,78,1,1,6,2,2,2,6,1,1,1,6,1,1,1,6,1,1,1,6,3,2,1,6,2,1,1,6,1,1,1,6,3,2,2,6,2,1,1,6,1,1,1,57,16,20,43,57,58,27,11,57,58,20,18,20,20,20,20,29,female,Black,4,4
50,60,60,25,50,25,90,90,50,50,20,50,50,10,20,20,50,50,10,10,6,2,2,2,6,5,2,2,4,4,4,4,5,1,2,2,4,6,3,3,4,5,5,5,4,7,6,5,4,5,4,4,6,6,2,2,6,6,2,2,94,56,73,87,56,56,26,0,94,94,19,20,20,18,19,21,32,Female,American,5,3
