expression_1_TEXT,expression_2_TEXT,expression_3_TEXT,expression_4_TEXT,expression_5_TEXT,expression_6_TEXT,expression_7_TEXT,expression_8_TEXT,expression_9_TEXT,expression_10_TEXT,suppression_1_TEXT,suppression_2_TEXT,suppression_3_TEXT,suppression_4_TEXT,suppression_5_TEXT,suppression_6_TEXT,suppression_7_TEXT,suppression_8_TEXT,suppression_9_TEXT,suppression_10_TEXT,nowill_auth_gen,nowill_true_honest,nowill_pc,nowill_careful_polite,lazy_auth_gen,lazy_true_honest,lazy_pc,lazy_careful_polite,enviro_auth_gen,enviro_true_honest,enviro_pc,enviro_careful_polite,genes_auth_gen,genes_true_honest,genes_pc,genes_careful_polite,age,gender,gender_TEXT,race,conserv,democrat,prej_1,prej_2,prej_3,prej_4,prej_5,prej_6,prej_7,filler_1,filler_2,filler_3,cond
genetics,"medical problems, like thyroid",overeating,lack of exercise,choice to not diet or exercise,processed foods cheaper than healthier foods,patterns and habits learned in childhood,,,,,,,,,,,,,,6,6,4,4,7,7,2,2,5,5,6,5,6,6,4,4,35,0,,Caucasian,2,5,1,1,1,1,1,1,1,5,2,4,Expression
They eat too much food,They live a sedentary lifestyle,They have medical issues,They like to eat ,,,,,,,,,,,,,,,,,6,6,1,1,6,6,5,1,6,6,2,2,5,5,5,5,24,0,,biracial,1,7,1,3,1,1,1,1,1,1,1,1,Expression
They are Lazy,They are not inspired,They like sweets too much,They have no self control,,,,,,,,,,,,,,,,,7,7,3,3,6,7,2,1,4,4,6,6,3,2,6,5,25,1,,White,4,4,4,4,3,5,5,4,5,5,6,3,Expression
underlying medical conditions such as polycystic ovarian syndrome,overeating,depression,laziness in certain situations,no access to healthy foods,uneducated,,,,,,,,,,,,,,,2,2,2,2,3,3,3,3,6,6,6,5,5,5,3,5,34,0,,White,4,4,1,1,1,1,1,1,1,6,6,5,Expression
lazy,hungry,unmotivated,,,,,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2,30,1,,White,4,4,5,6,5,5,7,5,7,5,5,1,Expression
They are lazy,Lack of self-discipline,Biology,Heredity,Family upbringing,Our natural impulse to eat more fat and sugar,They don't care about their looks,Not self-consious,Dislike dieting,Dislike working out,,,,,,,,,,,7,7,7,4,7,7,3,1,7,7,7,1,7,7,7,4,25,0,,White,1,7,6,7,3,3,6,5,6,7,7,7,Expression
Depression ,Low self esteem ,Lazy,Poor,Sad,,,,,,,,,,,,,,,,6,6,3,2,6,4,1,1,6,6,6,2,6,6,6,2,39,0,,White,3,3,5,5,1,1,5,5,1,4,3,2,Expression
They do not exercise enough,They eat too much,They have low self-esteem,They are lazy,,,,,,,,,,,,,,,,,6,5,4,3,6,7,2,2,2,3,6,6,5,5,5,6,48,1,,Hispanic,7,1,4,6,3,3,4,5,5,6,6,6,Expression
they are ok the way they look,they overeat ,they are lazy,they are less fortune,they don't have enough money to buy healthy food,they are unemployed,they do not want to change,they are nice,they are sick,they are happy,,,,,,,,,,,6,6,6,6,6,6,4,2,5,5,6,6,6,6,5,2,33,0,,white,5,5,5,6,6,2,6,6,6,6,6,6,Expression
I think some people are fat because of medical reasons.,I think some people are fat because of mental illness.,I think some people are fat because of a lack of a ability to exude willpower.,I think some people are fat because they are emotional eaters.,I think some people are fat because they find the most comfort in food.,I think some people are fat because they want to be fat.,,,,,,,,,,,,,,,6,6,6,1,5,5,4,1,5,5,6,1,6,6,4,1,30,0,,white,4,4,1,1,1,7,1,1,1,6,7,7,Expression
lack of self control,health issues,over eating,lack of exercise,low self esteem,emotional problems,,,,,,,,,,,,,,,6,6,4,4,6,6,4,4,3,3,4,4,3,3,4,4,41,0,,African American,2,5,2,3,3,1,3,5,3,5,5,5,Expression
they dont know portion control,they eat there feelings,unhealthy relationship with food,genetics,,,,,,,,,,,,,,,,,5,5,3,3,6,6,2,2,6,6,3,3,6,6,5,5,26,0,,white,4,4,3,3,3,3,3,3,3,5,5,5,Expression
Fat people seem lazy,They eat way too much,They never exercise,Fat people never leave the house,Fat people live off of junk food,Fat people don't care about themselves,All fat people eat nothing but fast food,They live in the buffet line,Fat people only like prepackaged food because they don't like fresh fruit and vegetables,They have glandular issues.,,,,,,,,,,,6,7,6,4,7,5,3,2,5,5,2,2,3,2,6,4,44,1,,White,4,4,1,1,1,1,2,1,2,5,6,2,Expression
eat to much,lack of self control,medical issue,disgusting,lazy,lack of self respect ,lack of self esteem,lack of pride,depression,choice made cant accept consequences,,,,,,,,,,,6,6,4,4,5,5,5,5,3,3,3,3,4,4,4,4,45,0,,white,4,4,6,4,4,4,4,5,4,5,5,4,Expression
over eat,dine out too much,too much junk food,medical issues,like being fat,lack self control,eat too much sugar,peer pressure to eat,lack of exersize,low self esteem,,,,,,,,,,,7,7,2,2,7,7,1,1,7,7,7,7,6,6,7,7,54,1,,white,5,3,5,4,2,3,1,2,5,7,7,7,Expression
depression,thyroid issues,eat badly,eat too much fast food,don't get any exercise,have a disability and can't move much,,,,,,,,,,,,,,,6,6,2,2,6,6,2,2,6,6,2,2,4,4,6,6,44,0,,white,5,2,3,5,2,2,2,2,2,5,3,5,Expression
They are poor,They are busy,They can't cook for themselves,They have a limited palate,They are not active enough,They don't care about themselves,They overeat,Their metabolism is slow,They do not try new foods,They are lazy,,,,,,,,,,,6,5,5,3,6,6,2,1,5,3,6,5,3,2,5,6,31,1,,White,5,4,1,3,2,3,2,2,1,5,1,2,Expression
they eat too much,they have less willpower,they were raised wrong,they have worse genetics than others,they eat the wrong type of foods,they use food for comfort,,,,,,,,,,,,,,,6,6,3,3,6,6,2,2,6,6,6,6,6,6,6,6,33,1,,white,5,3,2,2,2,2,2,2,2,2,2,2,Expression
laziness,not knowing how to eat right,low self esteme,lonliness,love for food,lack of exercise,,,,,,,,,,,,,,,6,6,2,2,6,6,2,2,2,2,6,6,3,3,6,6,54,0,,white,7,1,2,5,2,2,2,2,2,2,3,5,Expression
Dont exerciser enough ,eat too much sugar,eat too much processed food,Dont walk enough,Dont go to the gym,Doesnt do yoga,Doesnt help for help losing weight,Eat to much snacks,Eats too much at once,Eats too often,,,,,,,,,,,5,4,3,3,3,5,4,4,5,5,4,4,4,3,4,5,25,1,,White,2,6,5,5,3,4,4,5,4,4,4,4,Expression
they eat too much,they tend to get hot easily,they are slobs,they are lazy,they lack self control,,,,,,,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,35,0,,Asian,1,7,1,1,5,1,1,1,5,5,5,5,Expression
fast food is too convenient and cheap,people are lazy,people don't exercise,too much technology,food that is bad for you is delicious,food that is bad for you is inexpensive,food that is bad for you is convenient,portion sizes are huge nowadays,people don't cook at home like they should,healthy food is expensive and is not easily accessible,,,,,,,,,,,7,7,7,1,5,5,4,1,5,5,3,1,7,7,7,2,33,0,,white,7,1,1,6,1,1,1,1,2,7,7,5,Expression
They are a little bit lazy,They have emotional problems,They started out fat because their parents made them fat,They have some kind of hormonal disorder,They are bored and eat from boredom,They have less self respect,They use fat as a way to protect themselves psychologically,They have a slow metabolism,They don't know what kinds of food to eat,They are big boned,,,,,,,,,,,7,7,1,1,7,7,1,1,6,6,4,2,5,5,4,4,29,0,,white,2,6,1,3,1,1,1,1,3,1,1,1,Expression
The eat too much,,,,,,,,,,,,,,,,,,,,7,7,1,1,7,7,1,1,1,1,7,7,1,1,7,7,29,0,,African American,4,4,1,7,1,1,1,1,4,1,7,1,Expression
Overeating,Depression,Lazy,Raised,,,,,,,,,,,,,,,,,6,6,3,2,6,6,5,5,7,6,2,2,6,5,3,6,64,1,,white,2,6,5,4,2,6,6,4,5,2,2,2,Expression
genetics,eat too much,don't exercise,are lazy,have too much sugar,eat out too often,don't go to the gym,eat too much candy,snack too often,don't pay attention to their weight,,,,,,,,,,,6,6,6,6,6,6,7,2,6,6,6,5,5,5,7,5,33,0,,white,3,5,2,3,3,2,3,3,5,6,5,6,Expression
metabolism,overeating,poor food choices,lack of exercise,genetics,health disorders,,,,,,,,,,,,,,,7,7,2,2,6,6,2,2,7,7,7,1,6,6,6,2,39,0,,white,2,6,2,6,4,2,2,2,2,2,2,2,Expression
Metabolism ,Diet ,Lack of exercise ,Hormone problems,Giving up on life ,Resignation ,Laziness ,Lack of self esteem ,,,,,,,,,,,,,7,7,1,2,7,7,2,1,7,6,1,1,6,6,5,3,25,0,,White ,1,7,6,7,3,2,5,6,6,5,7,7,Expression
Overeating,Mental disorders,Unhealthy lifestlye,,,,,,,,,,,,,,,,,,5,5,6,6,7,7,6,6,6,6,6,6,3,3,6,6,18,1,,White,5,3,2,2,2,2,2,2,2,5,6,6,Expression
Overeating,Lack of exercise,Poor diet,Mental illness,,,,,,,,,,,,,,,,,6,5,3,2,5,4,3,2,6,6,6,4,2,4,5,4,21,1,,white,3,6,4,5,3,3,2,5,5,5,7,7,Expression
metabolism,genes,lifestyle,diet,unhealthy food,medical conditions,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,4,4,2,2,4,4,4,4,27,0,,caucasian,1,7,1,2,1,7,1,1,1,4,5,5,Expression
They eat to much,their metabolism is too slow,they don't exercise,they are unhealthy,,,,,,,,,,,,,,,,,5,5,2,2,5,5,1,1,2,2,4,4,5,5,5,3,31,0,,white,5,3,2,3,4,2,2,2,2,5,3,5,Expression
They eat too much,They have no self control,They are sedentary,They are slobs,They get no exercise,They eat too large portions,They eat the wrong foods,They have poor metabolisms,,,,,,,,,,,,,6,6,2,2,6,6,2,2,3,4,5,5,4,3,5,5,57,1,,Caucasian,6,2,4,5,3,3,3,5,5,5,6,6,Expression
Lack of discipline ,They dont care about appearance ,Lazy,,,,,,,,,,,,,,,,,,6,6,5,4,6,6,2,2,4,4,6,6,3,3,5,5,29,0,,White ,3,5,2,5,3,4,3,5,5,5,6,5,Expression
People have poor diets,People do not excercise,People are not active.,Some people have a thyroid problem,Some people have metabolism issues.,,,,,,,,,,,,,,,,7,7,7,7,7,7,1,1,7,7,7,7,7,7,7,7,35,1,,Native American,1,7,1,7,1,1,1,1,1,1,7,7,Expression
they eat too much,they eat poor quality food,they do not exercise,they eat junk food,they have a health issue,they just don't care,,,,,,,,,,,,,,,7,7,2,2,7,7,2,2,7,7,7,4,7,7,6,4,43,0,,caucasian,4,5,2,3,2,2,5,5,4,5,2,3,Expression
emotional truama,medication,thyroid problems,no self control,lazy,eat to much,do not care about themselves,spoiled,ignorant,,,,,,,,,,,,6,6,2,1,6,6,1,1,5,5,6,1,5,5,6,3,38,0,,black,2,6,1,1,1,1,1,1,1,2,3,1,Expression
They lack self control,They tend to be lazy,They don't work out,They are nice people,They just want to be accepted,,,,,,,,,,,,,,,,6,6,3,2,6,6,1,1,5,6,5,5,3,4,3,5,25,0,,Caucasian,1,6,1,5,1,1,1,2,1,5,6,6,Expression
Can't stop eating,Won't stop eating,Drinking too many sugary beverages,Drinking too much alcohol,Poor diet,Genetics,Poor access to healthy food,,,,,,,,,,,,,,7,7,6,2,7,6,3,2,7,6,6,5,6,5,6,2,36,1,,Caucasian,2,6,1,5,2,1,4,2,3,5,2,2,Expression
laziness,apathy,careless,poor diet,,,,,,,,,,,,,,,,,7,7,6,6,7,7,6,4,6,6,3,6,5,5,6,7,24,1,,black,3,5,4,7,4,4,4,1,3,5,1,3,Expression
eating too much,bad metabolism,lack of exercise,genetics,,,,,,,,,,,,,,,,,6,6,2,2,7,7,1,1,6,6,5,5,7,7,6,2,27,0,,white,2,6,1,2,1,1,1,1,1,5,2,7,Expression
They might eat alot of high calorie foods.,They might have health conditions that make it hard for them to exercise.,"They might eat healthy, but not exercise enough.",They might have a genetic disorder that makes them the way that they are.,They don't restrict their diets.,They really enjoy eatting high fat or calorie foods.,They binge eat when nervous.,When bored they eat food.,They learned to eat like their parents.,They never really thought about eatting healthy.,,,,,,,,,,,4,4,3,3,5,5,4,4,6,6,6,6,6,6,6,6,23,1,,Caucasian,1,7,2,3,2,2,2,2,2,2,2,2,Expression
Low confidence,No self control because of their weight,They must eat everything,They must have tried every food,Metabolic problems,Fat people have do not exercise,,,,,,,,,,,,,,,4,5,2,3,5,6,5,3,5,5,6,7,5,5,3,3,27,1,,Hispanic,1,4,1,5,1,1,1,2,4,6,7,5,Expression
People work long hours and don't have time to exercise.,Healthy food can be more expensive than fast food.,Many people are depressed which leaves them with no energy to workout.,Certain people at the gym try to shame and intimidate you for getting started.,People look for comfort food when they are sad.,"It is considered rude to turn down food at special events, such as birthday cakes.",People are unable to clear the stress from their lives to make time to take care of themselves.,It is hard to know what diet is healthy when there is always a new fad.,People prefer the taste of sugary sweets and fried foods.,It is discouraging when you start a new exercise routine and you are sore for days.,,,,,,,,,,,3,3,2,2,3,3,1,1,6,6,3,3,5,5,5,5,32,0,,Caucasian,1,7,1,5,1,2,1,1,1,6,5,6,Expression
It's heredity,They over eat,They don't exercise,They are depressed,They are stressed ,,,,,,,,,,,,,,,,6,4,6,6,6,6,4,4,5,5,6,6,7,6,7,7,57,0,,Caucasian,5,3,1,2,1,1,1,1,1,3,3,3,Expression
no exercise,poor diet,poor sleep habits,sedentary lifestyle,,,,,,,,,,,,,,,,,3,4,3,4,4,3,5,3,4,3,5,3,4,2,5,3,38,1,,White,4,4,3,3,4,4,4,4,3,4,3,4,Expression
metabolism,genetics,compounding issues in which people who have the least amount of time both do not have time to exercise and do not have time to cook better food,"culture of excessive safety - every fun thing that kids used to be allowed to do in gym class is now too dangerous and the scchool won't allow it (dodgeball, kickball, moneky bars, gymnastics unit, etc) so it has become impossible to instill exercise principles in children","marketing - a burger is sold to us as something worthwhile in itself, consumption of which is a goal to achive in an of itself whreas health food is sold as a means to an end",other health issues - like joint problems or asthma that limit full cardio exercise,"gyms are crazy expensive and as we ""civilize"" wild spaces there are less and less areas available for free exercise","culture of extremism - we have  an advertising culture that markets to twow extremes - you either get the uber healthy/superfood/quinoa, kale, and flax marketing or the burger with three patties and some bacon and also herers some more bacon, there is little to no emphasis on the happy middle",too much beer,sitting on couch watching netflix is easier to do than moving,,,,,,,,,,,4,4,1,1,4,4,2,2,7,7,5,3,6,6,4,4,24,0,,white,1,7,1,3,1,1,1,1,1,1,1,1,Expression
Overeating,Sedentary choices,Injuries or other health problems preventing movement,Glandular/hormonal problems,Cultural norms which encourage obesity,Lipedemia,Family norms,Stress,Depression,Sedentary work requirements,,,,,,,,,,,6,6,2,2,6,6,2,1,6,6,4,2,6,6,5,4,38,0,,White,1,6,1,1,1,1,1,1,1,5,1,5,Expression
Genetics,Medical conditions,Medication,Lack of activity,Over eating,Emotional issues,Laziness,,,,,,,,,,,,,,5,7,3,1,7,7,2,1,7,7,7,2,6,6,6,2,27,1,,White,2,6,1,1,1,1,1,1,2,5,1,5,Expression
poor diet,lack of exercise,poor nutritional information from the medical establishment,Too much stress,misunderstanding about how to deal with stress,some people like being fat,it's become a societal norm and fat people fit in,,,,,,,,,,,,,,6,6,1,1,6,6,2,2,5,5,6,6,6,6,2,2,53,1,,White,7,1,1,4,1,1,1,1,1,1,1,1,Expression
Overeating,Addiction,Depression,Thyroid issue,Other health issue,Comfort eating,,,,,,,,,,,,,,,6,6,2,1,6,6,1,1,7,7,7,7,7,7,7,7,33,1,,white,1,7,1,2,1,1,1,1,1,5,2,2,Expression
they don't exercise,they like to eat,they are obsessed with eating,it's hard for them to lose weight if they are busy,they might have a medical condition so they can't exercise,,,,,,,,,,,,,,,,7,7,1,1,6,6,1,1,7,7,4,4,5,5,1,1,23,0,,european american and east slavic,3,4,1,1,1,1,1,1,1,4,7,4,Expression
laziness,stupidity,no self control,ignorance ,poor,uneducated,society,advertising,poor diet,no exercise ,,,,,,,,,,,6,6,2,2,6,6,2,2,6,6,5,5,2,2,2,2,33,1,,hispanic,1,1,2,3,2,2,6,2,2,6,6,6,Expression
They eat too much,genetics,too much high calorie food,they are pregnant,no self control,over indulge ,,,,,,,,,,,,,,,5,6,5,6,5,5,6,5,5,6,6,6,5,6,6,5,30,0,,white,5,4,5,5,5,6,5,5,5,5,6,6,Expression
they are lazy,they don't care about their appearance,they have bad habits,they do not exercise,they overeat,,,,,,,,,,,,,,,,7,7,2,2,7,7,1,1,1,1,6,6,1,1,7,7,25,1,,white,7,1,7,7,7,7,7,1,7,1,1,1,Expression
thyroid issues,genetic reasons,medication,physical limitations,living in 'food deserts',enjoy food too much,lazy,other medical reasons,,,,,,,,,,,,,6,6,1,1,6,6,1,1,6,6,4,4,6,6,4,4,61,0,,white,2,6,1,1,1,1,1,1,1,5,5,5,Expression
lazy,medication,paralyses,over eat,dont exercise,,,,,,,,,,,,,,,,4,4,4,4,4,4,3,3,4,4,5,5,4,4,5,5,29,0,,hispanic,5,2,5,4,4,4,4,5,4,5,5,5,Expression
Thyroid problems,Heredity,Injuries,Water retention,Food addiction,Depression,,,,,,,,,,,,,,,5,6,2,1,5,5,2,1,5,5,2,1,6,6,4,4,40,0,,Caucasian,4,4,1,1,1,1,1,1,1,5,2,5,Expression
They over eat,They eat when they are emotional or stressed,They do not get enough excerise,They have a medical condition,They have no self control,They love food,They don't care how they look,,,,,,,,,,,,,,7,7,6,2,6,6,3,2,6,6,5,2,5,3,6,6,39,0,,white,4,4,2,3,5,2,4,6,5,6,6,3,Expression
They have an illness that affects their weight.,They don't get enough exercise.,They eat too many calories relative to the amount of energy they spend.,They don't have self-control when it comes to food.,They inherited a habit of overeating from the people around them.,They eat due to high stress.,They eat as an attempt at self-comfort.,They enjoy eating more than they enjoy exercising.,They have restricted movement due to physical limitations.,Their metabolism isn't functioning well.,,,,,,,,,,,5,6,1,1,6,5,1,1,3,2,3,2,3,4,5,5,35,2,Genderfluid (biologically female),Mixed Caucasian and Asian,2,6,2,1,2,1,3,3,1,3,5,2,Expression
They eat too much food,They don't exercise,They might be suffering from a medical condition,Their mate thinks fat people are more desirable,,,,,,,,,,,,,,,,,6,6,6,3,7,7,3,1,6,6,7,5,5,5,6,4,32,0,,Black,1,7,4,7,2,1,1,4,3,2,6,7,Expression
diet- agree,lack of exercise- agree,poor nutrition-agree ,lazy-don't agree/mean,genetics- agree,poor-don't agree-mean,,,,,,,,,,,,,,,5,5,2,2,5,5,2,2,6,6,3,3,5,5,3,3,56,0,,white,2,6,3,3,3,3,3,3,3,5,5,5,Expression
They have an eating disorder,They are getting old,They don't have a lot of food choiced,They are sedentary,,,,,,,,,,,,,,,,,4,5,3,3,3,3,5,3,5,5,5,5,5,5,3,3,54,1,,European,5,5,4,3,3,3,3,3,3,4,4,4,Expression
because they are lazy ,because they do not exercise,because they eat too much,because they eat fatty foods,because they have a problem with their thyroid,because they are physically unable to exercise,because they take a medication that causes them to gain weight,because it is hereditery,,,,,,,,,,,,,5,4,4,3,5,5,3,3,5,5,5,3,4,4,5,4,31,0,,white,5,3,3,4,3,3,3,3,3,3,3,3,Expression
They are on medication that made them overweight,They are lazy,They eat a lot of junk food,they have a medical condition,,,,,,,,,,,,,,,,,5,5,5,4,5,5,4,3,5,5,5,4,6,6,6,3,38,0,,white,5,3,2,3,2,2,2,2,2,5,6,5,Expression
Poor eating habits at home during childhood,their parents were heavy and they grew up overeating as being normal,they do not exercise,they may have experienced extreme trauma and use eating as a comforting method,they eat fast food or junk food daily,they may have given up on life,they may have a medical condition that keeps them from walking,,,,,,,,,,,,,,5,6,2,2,4,4,1,1,6,6,4,4,6,5,6,6,65,0,,white,3,5,4,5,2,2,2,4,4,4,3,2,Expression
They eat too much,They drink too much pop,They don't exercise enough,They have a thrifty-type metabolism,They (rarely) have some kind of metabolic disorder,,,,,,,,,,,,,,,,4,5,2,2,5,6,3,2,2,2,4,4,5,4,4,6,31,1,,White,5,2,2,6,2,2,2,2,2,2,3,3,Expression
they do not try hard enough,poor,addicted to food,poorly educated about correct food choices,lazy,need to move around,not goal orientated,live for the present moment,non-futuristic,possible past trauma,,,,,,,,,,,5,3,6,4,5,6,1,1,5,4,6,6,6,3,6,4,44,0,,white,6,3,5,4,4,4,4,7,6,7,7,6,Expression
they just have 'fat' genes.,they eat too much.,They do not exercise.,they are lazy.,they are depressed.,they have a medical condition.,,,,,,,,,,,,,,,6,6,1,1,7,6,1,1,6,6,1,1,5,5,3,2,46,1,,African American,2,6,2,3,1,1,1,1,1,5,7,4,Expression
people will do anything to be healthy except eat healthy and exercise,Our society is based around this - it's really hard to find healthy options,We instead are bombarded with terrible choices and being healthy feels like swimming upstream,"Sugar is put in everything, for example. Even in foods that have no need of it",Try buying a pasta sauce without sugar - nearly impossible,"It's a challenge to find healthy version of food. I have to go to a specialty store to get real, fermented sauerkraut, which has more bioavailable nutrients and is good for the gut","We have a health care system designed to treat acute diseases, whereas most people are suffering from chronic diseases like diabetes",People have become lazy - something as simple as biking to the store or walking is seen as an oddity - it should be a norm,,,,,,,,,,,,,6,6,2,2,6,6,2,2,6,5,3,2,5,2,6,7,38,1,,White,4,4,4,5,4,4,4,6,5,5,5,5,Expression
overeating,unhealthy eating,unmotivated,don't exercise,laziness,don't care,medical conditions,,,,,,,,,,,,,,6,6,5,4,6,6,3,3,6,6,5,4,6,6,5,4,38,0,,white,4,4,2,5,2,2,2,2,2,5,6,6,Expression
junk food,over eating,no self control,boredom ,,,,,,,,,,,,,,,,,6,6,6,4,6,6,6,1,7,7,7,3,6,7,4,4,25,0,,hispanic,3,5,1,2,1,1,1,1,1,2,3,5,Expression
depression,low self esteem,addiction,lazy,uninformed,happy,love,cultural bias,upbringing,victim of advertising,,,,,,,,,,,4,4,4,4,,,,,7,7,6,4,4,5,4,4,38,1,,asian,4,4,5,4,1,2,1,1,1,5,5,5,Expression
They can't control how much they eat,They don't care how they look,They don't engage in any sort of movement exercises.,They have bad metabolism and genes,,,,,,,,,,,,,,,,,7,7,5,6,7,7,4,4,5,6,6,7,7,7,5,5,32,0,,White,2,6,5,4,4,5,6,7,5,7,7,7,Expression
Genetics,No self control,Addictive personality,Glandular issues,Low self esteem,Depression,,,,,,,,,,,,,,,6,6,2,2,6,6,2,2,6,6,2,2,6,6,6,6,43,1,,White,3,5,3,5,2,2,3,5,4,2,4,2,Expression
They are lazy,They have Health problems,Depressed people ,Lazy people ,,,,,,,,,,,,,,,,,3,3,5,5,6,6,3,3,3,3,6,6,3,4,4,4,28,0,,White ,5,3,5,4,4,3,4,3,4,4,5,4,Expression
Some people are fat due to poor diet decisions.,Some people are fat due to not exercising. ,Some people are fat because they're lazy.,Some people are fat because they have a chronic illness.,Some people are fat because of the environment they are in.,,,,,,,,,,,,,,,,5,5,4,4,5,5,4,4,6,6,4,4,4,4,4,4,19,1,,european american,4,4,1,2,1,1,1,1,2,4,5,5,Expression
The main reason is because they eat way too many foods that are sugary/full of carbs.,They are sedentary.,Genetics do play a role to some extent.,,,,,,,,,,,,,,,,,,5,5,3,3,6,6,2,2,2,2,6,6,6,6,2,2,46,1,,White,5,4,2,6,2,2,4,2,2,2,4,2,Expression
