check_self,check_norm,dvs_1,dvs_2,dvs_3,dvs_4,dvs_5,dvs_6,dvs_7,dvs_8,dvs_9,dvs_10,age,gender,ethnicity,conserv,democrat,atts_1,atts_2,atts_3,atts_4,atts_5,atts_6,atts_7,atts_8,atts_9,atts_10,cond
5,6,42,63,50,49,42,73,65,50,53,51,33,1,8,3,5,3,4,3,5,5,3,5,5,5,4,auth_bad
3,3,58,59,50,40,55,43,37,65,43,53,21,2,8,5,5,4,5,3,4,4,7,3,3,5,3,auth_bad
6,2,80,75,5,80,90,90,60,60,80,85,22,2,8,3,5,2,2,6,6,2,2,6,6,2,6,auth_bad
5,5,72,77,70,59,60,48,73,58,71,57,30,2,8,5,4,5,4,5,5,5,4,4,4,5,4,auth_bad
7,2,63,79,6,31,49,100,3,95,7,13,21,1,8,3,4,2,1,4,1,1,1,7,1,1,2,auth_bad
4,2,81,69,23,62,71,71,61,21,78,84,34,2,8,1,7,2,2,2,7,6,5,6,5,1,7,auth_bad
6,3,60,60,70,70,30,30,100,70,80,50,24,1,2,4,4,4,4,3,7,6,5,2,4,4,1,auth_bad
6,1,80,75,90,97,80,5,98,94,90,97,42,1,7,2,6,1,1,1,6,6,2,1,7,4,1,auth_bad
6,3,70,70,60,71,69,70,80,70,76,70,31,2,2,1,7,2,3,2,3,7,3,2,4,5,1,auth_bad
6,2,25,44,10,48,25,80,73,60,8,40,20,1,8,5,3,6,5,5,6,5,6,6,5,6,5,auth_bad
7,5,100,100,80,81,100,100,80,100,65,99,34,1,8,4,2,4,3,3,6,1,1,7,5,7,1,auth_bad
6,3,60,57,25,10,59,20,81,30,89,79,45,2,8,6,4,5,4,3,7,5,4,4,4,6,2,auth_bad
6,3,10,11,35,49,10,30,52,1,56,68,34,1,8,1,7,1,1,1,5,5,5,1,4,5,4,auth_bad
7,2,50,50,50,50,50,50,80,50,50,50,34,1,8,2,6,1,2,2,7,7,5,1,5,3,7,auth_bad
6,5,85,85,75,65,90,85,80,90,94,100,33,2,8,5,4,4,4,5,7,3,3,7,4,2,5,auth_bad
6,3,39,100,92,58,100,100,100,100,100,84,38,2,2,3,5,3,5,5,3,6,2,1,5,1,1,auth_bad
5,3,75,83,75,84,81,69,89,49,84,39,36,2,2,3,5,2,2,1,6,4,5,2,4,4,2,auth_bad
6,3,8,2,64,61,6,66,74,5,4,6,27,2,8,2,7,2,4,1,6,1,5,6,4,5,2,auth_bad
4,2,17,26,71,48,71,55,100,67,69,70,22,2,8,7,1,5,6,5,6,2,6,4,6,6,1,auth_bad
3,3,80,74,80,84,78,88,30,94,48,62,28,1,8,2,6,2,1,1,4,2,2,4,2,3,6,auth_bad
5,3,30,67,85,79,43,34,42,43,62,65,22,1,2,4,4,5,5,5,4,4,3,6,4,6,3,auth_bad
5,3,50,64,50,50,68,62,98,95,95,55,24,1,8,4,4,4,4,4,3,3,3,4,4,4,4,auth_bad
5,5,37,65,44,40,25,60,11,45,41,29,25,1,8,2,6,1,2,1,5,7,2,1,4,2,7,auth_bad
6,2,100,80,64,15,70,65,19,40,52,40,25,2,8,5,3,4,4,7,6,6,1,3,2,5,1,auth_bad
7,2,75,10,50,100,100,15,100,100,10,1,39,1,8,4,2,7,7,5,7,1,5,7,6,7,1,auth_bad
5,2,89,91,61,78,46,62,85,39,69,55,27,1,7,3,7,3,3,6,6,3,6,5,4,4,2,auth_bad
6,6,100,100,100,100,100,100,100,50,100,100,32,1,8,1,7,4,4,2,6,2,2,4,4,4,2,auth_bad
5,7,30,74,85,26,51,68,92,53,57,44,31,1,3,7,1,5,6,1,7,3,7,6,6,7,6,auth_bad
4,2,71,83,64,75,81,83,77,64,30,35,44,1,8,2,6,2,1,1,5,1,2,4,4,3,2,auth_bad
6,3,8,2,71,81,13,13,97,71,77,16,32,1,5,2,6,2,2,1,6,5,6,2,4,4,2,auth_bad
3,2,100,100,50,0,100,29,50,0,50,0,61,2,8,4,5,3,3,2,2,5,1,6,2,1,6,auth_bad
6,3,91,95,45,49,93,92,42,40,45,93,40,2,9,2,6,3,3,2,2,6,1,3,4,4,1,auth_bad
2,2,4,22,6,4,7,3,46,54,42,9,23,2,3,6,2,4,3,1,6,5,5,2,4,1,3,auth_bad
2,3,6,10,9,87,11,14,38,87,83,43,30,2,8,3,6,3,2,1,6,4,6,2,4,2,1,auth_bad
7,6,39,38,58,50,67,56,44,39,50,53,27,2,8,1,7,5,5,5,3,5,3,3,3,4,4,auth_bad
6,4,85,88,3,85,92,95,100,90,85,84,31,2,9,5,3,4,4,3,7,7,6,1,3,1,1,auth_bad
7,7,85,85,95,65,55,80,80,55,55,65,39,1,8,6,6,4,5,6,7,3,7,3,3,7,1,auth_bad
6,3,8,5,6,76,5,74,87,51,79,7,46,2,8,1,7,1,1,1,7,7,5,1,1,1,7,auth_bad
6,4,41,39,52,90,55,83,80,86,85,95,34,2,8,3,4,2,4,1,3,3,2,5,4,1,2,auth_bad
5,4,35,75,50,69,75,82,60,40,54,52,37,2,2,4,4,3,3,2,6,5,5,2,4,2,2,auth_bad
6,2,78,72,59,49,76,70,70,51,33,19,37,1,2,3,5,5,7,2,5,2,1,6,5,2,1,auth_bad
6,3,92,51,23,49,86,55,94,91,12,80,44,2,8,4,4,6,4,2,2,5,2,6,2,1,2,auth_bad
4,2,51,100,90,56,52,100,100,60,7,53,53,2,8,4,4,7,4,4,6,4,1,2,4,4,3,auth_bad
6,2,60,100,70,90,100,60,100,80,20,80,29,1,8,1,7,1,1,1,7,7,3,1,5,6,7,auth_bad
4,2,67,68,58,59,41,86,86,100,38,81,23,2,8,4,4,5,4,5,1,7,3,1,4,3,4,auth_bad
6,4,30,63,100,65,69,50,97,50,20,68,33,1,8,2,6,3,2,2,5,4,5,4,4,7,4,auth_bad
6,3,70,60,50,25,80,10,30,57,95,95,23,1,9,4,4,2,1,1,2,6,2,3,5,6,1,auth_bad
5,3,81,70,81,100,60,72,100,87,83,87,27,2,8,4,4,2,7,1,7,7,7,1,4,3,2,auth_bad
4,3,91,100,29,83,100,100,100,18,5,88,27,2,8,2,6,4,5,1,7,5,7,4,4,1,2,auth_bad
6,6,15,6,55,51,3,4,62,43,6,75,37,1,8,2,6,1,2,1,5,6,5,4,5,4,6,auth_bad
5,2,21,49,21,77,44,48,77,20,10,62,55,1,8,4,4,4,3,4,3,1,1,7,4,7,5,auth_bad
5,6,100,100,100,0,87,76,100,51,0,0,36,1,6,4,4,7,7,7,7,7,7,4,4,7,1,auth_bad
5,2,61,66,11,31,35,76,83,43,46,66,25,2,6,4,4,4,3,3,6,7,3,1,4,1,5,auth_bad
6,2,80,75,95,93,75,80,100,90,100,100,50,1,9,2,6,4,3,2,5,3,3,4,5,6,2,auth_bad
5,5,43,23,55,100,12,2,100,33,49,9,41,1,8,4,4,3,3,3,7,4,1,1,6,5,4,auth_bad
6,3,50,97,80,95,72,65,94,97,91,88,31,1,8,1,6,4,2,4,6,2,3,4,5,6,2,auth_bad
6,3,50,31,58,71,40,83,71,49,18,15,30,2,2,4,4,2,2,2,6,4,6,4,4,4,2,auth_bad
2,2,87,100,10,100,100,100,100,70,24,26,43,1,8,5,3,1,1,2,7,7,6,1,4,1,6,auth_bad
